timestamp,open,high,low,close,volume
2024-01-01 00:00:00,42500.0,42650.0,42450.0,42600.0,1234567.89
2024-01-01 00:05:00,42600.0,42750.0,42550.0,42700.0,987654.32
2024-01-01 00:10:00,42700.0,42800.0,42650.0,42750.0,1456789.12
2024-01-01 00:15:00,42750.0,42900.0,42700.0,42850.0,2345678.90
2024-01-01 00:20:00,42850.0,42950.0,42800.0,42900.0,1876543.21
2024-01-01 00:25:00,42900.0,43000.0,42850.0,42950.0,2987654.33
2024-01-01 00:30:00,42950.0,43100.0,42900.0,43050.0,1765432.10
2024-01-01 00:35:00,43050.0,43200.0,43000.0,43150.0,2654321.98
2024-01-01 00:40:00,43150.0,43250.0,43100.0,43200.0,1543210.87
2024-01-01 00:45:00,43200.0,43300.0,43150.0,43250.0,2432109.76
2024-01-01 00:50:00,43250.0,43350.0,43200.0,43300.0,1321098.65
2024-01-01 00:55:00,43300.0,43400.0,43250.0,43350.0,2210987.54
2024-01-01 01:00:00,43350.0,43450.0,43300.0,43400.0,1109876.43
2024-01-01 01:05:00,43400.0,43500.0,43350.0,43450.0,2098765.32
2024-01-01 01:10:00,43450.0,43550.0,43400.0,43500.0,1987654.21
2024-01-01 01:15:00,43500.0,43600.0,43450.0,43550.0,2876543.10
2024-01-01 01:20:00,43550.0,43650.0,43500.0,43600.0,1765432.09
2024-01-01 01:25:00,43600.0,43700.0,43550.0,43650.0,2654320.98
2024-01-01 01:30:00,43650.0,43750.0,43600.0,43700.0,1543209.87
2024-01-01 01:35:00,43700.0,43800.0,43650.0,43750.0,2432098.76
